Category,Example,Additional,Additional 2
Christmas Movies,Christmas Vacation,TRUE,
Christmas Movies,Home Alone,TRUE,
Christmas Movies,Harry Potter and the Philosophers Stone,TRUE,
Christmas Movies,A Christmas Story,TRUE,
Christmas Movies,Frosty the Snowman,TRUE,
Christmas Movies,Jingle All The Way,TRUE,
Christmas Movies,Elf,TRUE,
Christmas Movies,How the Grinch Stole Christmas,TRUE,
Christmas Movies,Christmas with the Cranks,TRUE,
Christmas Movies,Britney Spears,TRUE,
Christmas Movies,Christina Aguilera,TRUE,
Christmas Movies,Jennifer Lopez,TRUE,
Christmas Movies,Shakira,TRUE,
Christmas Movies,Dua Lipa,TRUE,
Christmas Movies,Doja Cat,TRUE,
Christmas Movies,Selena Gomez,TRUE,
Christmas Movies,Demi Lovato,TRUE,
Christmas Movies,Sia,TRUE,
Christmas Movies,Adele,TRUE,
Christmas Movies,Kesha,TRUE,
Christmas Movies,Lizzo,TRUE,
Christmas Movies,Nicki Minaj,TRUE,
Christmas Movies,Céline Dion,TRUE,
Christmas Movies,Billie Eilish,TRUE,
Pop divas,Miley Cyrus,TRUE,
Pop divas,Pink,TRUE,
Pop divas,Fergie,TRUE,
Pop divas,Normani,TRUE,
Pop divas,Charli XCX,TRUE,
Pop divas,Kylie Minogue,TRUE,
Pop divas,Camila Cabello,TRUE,
Pop divas,Avril Lavigne,TRUE,
Pop divas,Ashanti,TRUE,
Pop divas,Ellie Goulding,TRUE,
Pop divas,Alicia Keys,TRUE,
Pop divas,Tove Lo,TRUE,
Pop divas,Grimes,TRUE,
Pop divas,Tinashe,TRUE,
Pop divas,Chlöe Bailey,TRUE,
Pop divas,Halsey,TRUE,
Pop divas,Olivia Rodrigo,TRUE,
Pop divas,Rosalía,TRUE,
Pop divas,Florence Welch,TRUE,
Pop divas,Janet Jackson,TRUE,
Pop divas,Janelle Monáe,TRUE,
Pop divas,Hayley Williams,TRUE,
Pop divas,Jessie J,TRUE,
Pop divas,Bonnie Tyler,TRUE,
Pop divas,Chappell Roan,TRUE,
Chicago tourist stuff,Willis Tower Skydeck,FALSE,
Chicago tourist stuff,Cloud Gate (The Bean),FALSE,
Chicago tourist stuff,Navy Pier,FALSE,
Chicago tourist stuff,Millennium Park,FALSE,
Chicago tourist stuff,Chicago Riverwalk,FALSE,
Chicago tourist stuff,Architectural Boat Tour,FALSE,
Chicago tourist stuff,Shedd Aquarium,FALSE,
Chicago tourist stuff,Field Museum,FALSE,
Chicago tourist stuff,Adler Planetarium,FALSE,
Chicago tourist stuff,Art Institute of Chicago,FALSE,
Chicago tourist stuff,Lincoln Park Zoo,FALSE,
Chicago tourist stuff,Maggie Daley Park,FALSE,
Chicago tourist stuff,Wrigley Field,FALSE,
Chicago tourist stuff,Soldier Field,FALSE,
Chicago tourist stuff,Garfield Park Conservatory,FALSE,
Chicago tourist stuff,Chicago Theatre,FALSE,
Chicago tourist stuff,Grant Park,FALSE,
Chicago tourist stuff,360 Chicago,FALSE,
Chicago tourist stuff,Museum of Science and Industry,FALSE,
Chicago tourist stuff,Chicago Cultural Center,FALSE,
Chicago tourist stuff,The Magnificent Mile,FALSE,
Chicago tourist stuff,Chicago Water Tower,FALSE,
Chicago tourist stuff,Chicago History Museum,FALSE,
Chicago tourist stuff,Promontory Point,FALSE,
Chicago tourist stuff,Ferris wheel at Navy Pier,FALSE,
Chicago tourist stuff,ChinaTown Square,FALSE,
Chicago tourist stuff,Billy Goat Tavern,FALSE,
Chicago tourist stuff,Portillo’s,FALSE,
Chicago tourist stuff,Gino’s East,FALSE,
Chicago tourist stuff,Garrett Popcorn,FALSE,
Chicago tourist stuff,Divvy bikes,FALSE,
Chicago tourist stuff,Metra Electric line,FALSE,
Chicago tourist stuff,Second City,FALSE,
Chicago tourist stuff,Blue Man Group,FALSE,
Chicago tourist stuff,The Green Mill,FALSE,
Chicago tourist stuff,Chicago Botanic Garden,FALSE,
Chicago tourist stuff,Brookfield Zoo,FALSE,
Chicago tourist stuff,Calder’s Flamingo,FALSE,
Chicago tourist stuff,Chicago Lakefront Trail,FALSE,
Chicago tourist stuff,The 606 Trail,FALSE,
Chicago tourist stuff,Buckingham Fountain,FALSE,
Chicago tourist stuff,Shakespeare Theater Navy Pier,FALSE,
Comedians,Jerry Seinfeld,,
Comedians,Ellen DeGeneres,,
Comedians,Jim Gaffigan,,
Comedians,Brian Regan,,
Comedians,Nate Bargatze,,
Comedians,John Mulaney,,
Comedians,Hasan Minhaj,,
Comedians,Ali Wong,,
Comedians,Tig Notaro,,
Comedians,Mike Birbiglia,,
Comedians,Iliza Shlesinger,,
Comedians,Bo Burnham,,
Comedians,Taylor Tomlinson,,
Comedians,Kevin Hart,,
Comedians,Trevor Noah,,
Comedians,Wanda Sykes,,
Comedians,Chris Rock,,
Comedians,Dave Chappelle,,
Comedians,Steve Martin,,
Comedians,Martin Short,,
Comedians,Amy Poehler,,
Comedians,Tina Fey,,
Comedians,Seth Meyers,,
Comedians,Conan O'Brien,,
Comedians,Stephen Colbert,,
Comedians,Jimmy Fallon,,
Comedians,Jimmy Kimmel,,
Comedians,Jay Leno,,
Comedians,Brian Posehn,,
Comedians,Patton Oswalt,,
Comedians,Maria Bamford,,
Comedians,Demetri Martin,,
Comedians,Russell Peters,,
Comedians,Gabriel Iglesias,,
Comedians,Ronny Chieng,,
Comedians,Jordan Peele,,
Comedians,Keegan-Michael Key,,
Comedians,Fred Armisen,,
Comedians,Bill Hader,,
Comedians,Kristen Wiig,,
Comedians,Melissa McCarthy,,
Comedians,Kenan Thompson,,
Comedians,Kate McKinnon,,
Comedians,Bowen Yang,,
Comedians,John Oliver,,
Comedians,Phoebe Robinson,,
Comedians,Nicole Byer,,
Comedians,Fortune Feimster,,
Comedians,Katherine Ryan,,
Comedians,Marc Maron,,
Comedians,Reggie Watts,,
Kitchen gadgets,Spatula,TRUE,
Kitchen gadgets,Whisk,TRUE,
Kitchen gadgets,Tongs,TRUE,
Kitchen gadgets,Measuring cups,TRUE,
Kitchen gadgets,Measuring spoons,TRUE,
Kitchen gadgets,Cheese grater,TRUE,
Kitchen gadgets,Potato peeler,TRUE,
Kitchen gadgets,Can opener,TRUE,
Kitchen gadgets,Bottle opener,TRUE,
Kitchen gadgets,Colander,TRUE,
Kitchen gadgets,Cutting board,TRUE,
Kitchen gadgets,Pastry brush,TRUE,
Kitchen gadgets,Garlic press,TRUE,
Kitchen gadgets,Kitchen shears,TRUE,
Kitchen gadgets,Pizza cutter,TRUE,
Kitchen gadgets,Mandoline slicer,TRUE,
Kitchen gadgets,Immersion blender,TRUE,
Kitchen gadgets,Food processor,TRUE,
Kitchen gadgets,Stand mixer,TRUE,
Kitchen gadgets,Hand mixer,TRUE,
Kitchen gadgets,Slow cooker,TRUE,
Kitchen gadgets,Pressure cooker,TRUE,
Kitchen gadgets,Air fryer,TRUE,
Kitchen gadgets,Toaster oven,TRUE,
Kitchen gadgets,Microwave,TRUE,
Kitchen gadgets,Digital thermometer,TRUE,
Kitchen gadgets,Oven mitts,TRUE,
Kitchen gadgets,Baking sheet,TRUE,
Kitchen gadgets,Muffin tin,TRUE,
Kitchen gadgets,Rolling pin,TRUE,
Kitchen gadgets,Mortar and pestle,TRUE,
Kitchen gadgets,Spice grinder,TRUE,
